report_id,wellbore_id,pdf_name,page_number,row_index,Time,Test No,Type,Depth Top mMD,Depth Bottom (m),Choke size (mm),Oil rate (m3/d),Gas rate (M(m3)/d),Water rate (m3/d),Shutin press (MPa),Flowing press (MPa),BHP (MPa),GoR (m3/m3)
97,15/9-19 A,15_9_19_A_1997_10_28.pdf,2,1,00:00,1,drill stem te st,-999.99,-999.99,15.1,298,.02628,0,0,3.2,-999.99,8
101,15/9-19 A,15_9_19_A_1997_11_01.pdf,2,1,00:00,2,drill stem te st,3826,3888.5,13.5,660,.04143,0,0,9.5,-999.99,63
