report_id,wellbore_id,pdf_name,page_number,row_index,Time,Depth mMD,Depth TVD,Equ Mud Weight (g/cm3),Reading
88,15/9-19 A,15_9_19_A_1997_10_19.pdf,2,1,00:00,4131,,1.15,estimated
89,15/9-19 A,15_9_19_A_1997_10_20.pdf,2,1,00:00,4131,,1.15,estimated
90,15/9-19 A,15_9_19_A_1997_10_21.pdf,2,1,00:00,4131,,1.15,estimated
91,15/9-19 A,15_9_19_A_1997_10_22.pdf,2,1,00:00,4131,,1.15,estimated
92,15/9-19 A,15_9_19_A_1997_10_23.pdf,2,1,00:00,4131,,1.15,estimated
93,15/9-19 A,15_9_19_A_1997_10_24.pdf,2,1,00:00,4131,,1.15,estimated
96,15/9-19 A,15_9_19_A_1997_10_27.pdf,2,1,00:00,4131,,1.15,estimated
97,15/9-19 A,15_9_19_A_1997_10_28.pdf,2,1,00:00,4131,,1.15,estimated
98,15/9-19 A,15_9_19_A_1997_10_29.pdf,2,1,00:00,4131,,1.15,estimated
99,15/9-19 A,15_9_19_A_1997_10_30.pdf,2,1,00:00,4131,,1.15,estimated
100,15/9-19 A,15_9_19_A_1997_10_31.pdf,1,1,00:00,4131,,1.15,estimated
102,15/9-19 A,15_9_19_A_1997_11_02.pdf,1,1,00:00,4131,,1.15,estimated
103,15/9-19 A,15_9_19_A_1997_11_03.pdf,2,1,00:00,4131,,1.15,estimated
105,15/9-19 A,15_9_19_A_1997_11_05.pdf,2,1,00:00,4131,,1.15,estimated
106,15/9-19 A,15_9_19_A_1997_11_06.pdf,2,1,00:00,4131,,1.15,estimated
111,15/9-19 B,15_9_19_B_1997_11_10.pdf,1,1,00:00,2205,,1.03,estimated
112,15/9-19 B,15_9_19_B_1997_11_11.pdf,2,1,00:00,27,,1.03,estimated
113,15/9-19 B,15_9_19_B_1997_11_12.pdf,2,1,00:00,2349,,1.03,estimated
115,15/9-19 B,15_9_19_B_1997_11_14.pdf,2,1,00:00,2850,,1.03,estimated
116,15/9-19 B,15_9_19_B_1997_11_15.pdf,2,1,00:00,3039,,1.03,estimated
