report_id,wellbore_id,pdf_name,page_number,row_index,Run No.,Bit Size,Bit Type,IADC Code,Manufacturer,Hrs Drilled,Start mMD,End mMD,Hole Made (last 24H),Hours Drilled (last 24H),Form ROP,Total ROP,Total Hole Made,Total Hrs Drilled
699,15/9-F-12,15_9_F_12_2007_08_31.pdf,1,1,16,6 in,N.A.,,Unknown,,,,,,,,,
788,15/9-F-14,15_9_F_14_2007_11_08.pdf,1,1,1,17.5 in,XR+,117,Smith Internation al,7.7,145,145,,,7.7,7.7,59,7.7
788,15/9-F-14,15_9_F_14_2007_11_08.pdf,1,2,1,36 in,HOLEOPE N,435X,Smith Red Baron,7.3,145,145,,,7.7,7.7,56,7.3
802,15/9-F-14,15_9_F_14_2007_12_09.pdf,1,1,3,26 in,MG04BC,415,Smith Internation al,45.2,206,206,,,19.4,19.4,877,45.2
816,15/9-F-14,15_9_F_14_2008_05_16.pdf,1,1,5,17.5 in,RSR616 M,M322,Reed-Hycalog,46.5,1083,1083,,,25.8,24.2,1228,50.8
825,15/9-F-14,15_9_F_14_2008_05_25.pdf,1,1,6,12.25 in,MDI716,M323,Smith Internation al,24.9,2281,2281,,,20.4,18.7,541,28.9
847,15/9-F-14,15_9_F_14_2008_06_16.pdf,1,1,18,8.5 in,MDI716,M323,Smith Internation al,61.3,2788,2788,,,15.7,13.6,831,61.3
929,15/9-F-15,15_9_F_15_2007_12_28.pdf,1,1,1,26 in,N.A.,,Unknown,,,,,,,,,
942,15/9-F-15,15_9_F_15_2008_09_23.pdf,1,1,3,17.5 in,NA,,Hycalog,.3,1378,1378,,,10,10,3,.3
943,15/9-F-15,15_9_F_15_2008_09_24.pdf,1,1,4,12.25 in,RS616M-A1 2,M332,Reed-Hycalog,0,1381,1381,,,,,0,0
949,15/9-F-15,15_9_F_15_2008_09_30.pdf,1,1,5,12.25 in,RS616M-A1 2,M332,Reed-Hycalog,5,1381,1381,,,21,21,15,5
967,15/9-F-15,15_9_F_15_2008_11_22.pdf,1,1,6,8.5 in,MDI716,M323,Smith Internation al,81.2,2536,2536,,,14,69.1,1134,16.4
975,15/9-F-15,15_9_F_15_2008_11_30.pdf,1,1,7,8.5 in,MDI616LGBP X,,Smith Internation al,43.8,3670,3670,,,9.6,9.6,420,43.8
979,15/9-F-15,15_9_F_15_2008_12_04.pdf,1,1,9,8.25 in,N.A.,,Unknown,,,,,,,,,
985,15/9-F-15,15_9_F_15_2008_12_10.pdf,1,1,15,17.5 in,RSR616 M,M322,Reed-Hycalog,,,,,,,,,
994,15/9-F-15 A,15_9_F_15_A_2008_12_17.pdf,1,1,2,17.5 in,NA,,Hycalog,.3,1378,1378,,,10,10,3,.3
994,15/9-F-15 A,15_9_F_15_A_2008_12_17.pdf,1,2,16,17.5 in,RSR616 M,M322,Reed-Hycalog,80,1381,1381,,,15.1,15.1,1210,80
