quality_check_id,table_name,field_name,severity,check_name,message,report_id
1691,reports,depth_formation_strength_mtvd,info,value_missing_before_next_label,No accepted value for depth_formation_strength_mtvd,228.0
1692,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,228.0
1693,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,228.0
1694,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 2,228.0
1695,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,229.0
1696,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,229.0
1697,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,229.0
1698,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 3,229.0
1699,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 4,229.0
1700,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,230.0
1701,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,230.0
1702,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,230.0
1703,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 6,230.0
1704,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 7,230.0
1705,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 8,230.0
1706,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,231.0
1707,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,231.0
1708,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,231.0
1709,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 2,231.0
1710,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,232.0
1711,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,232.0
1712,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,232.0
1713,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 4,232.0
1714,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 5,232.0
1715,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 6,232.0
1716,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,233.0
1717,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,233.0
1718,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,233.0
1719,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 4,233.0
1720,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 5,233.0
1721,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 6,233.0
1722,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,234.0
1723,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,234.0
1724,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,234.0
1725,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 5,234.0
1726,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 6,234.0
1727,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 7,234.0
1728,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 8,234.0
1729,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,235.0
1730,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,235.0
1731,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,235.0
1732,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 3,235.0
