operation_id,start_time,end_time,end_depth_mmd,main_activity,sub_activity,state,remark,activity_label,ner_entities,ner_depths,ner_equipment,ner_measurements,ner_time_refs,report_id
5128,12:00,18:00,327.0,drilling,casing,ok,"RIH 14"" 169.65 kg/m csg from 33 m to 327 m filling every joint with 1.42 sg OBM. Average running speed 6 jts./hr.",TRIP_IN,"{""depths"": [""33 m"", ""327 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""33 m"", ""327 m""]",[],[],[],598
5129,18:00,00:00,854.0,drilling,casing,ok,"RIH 14"" 169.65 kg/m csg from 327 m to 854 m filling every joint with 1.42 sg OBM. Average running speed 8 jts./hr.",TRIP_IN,"{""depths"": [""327 m"", ""854 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""327 m"", ""854 m""]",[],[],[],598
5130,00:00,01:00,901.0,drilling,casing,ok,"RIH 14"" 169.65 kg/m csg from 854 m to 901 m filling every joint with 1.42 sg OBM. Lowered TDS to 3 m above rig floor, tilted bails forward to pick up 14"" 169.65 kg/m casing joint. When tilting forward a bolt on one out of four U-clamps sheared off. No p ersonale in the area. Potential 0.12kg*4m*9.81=5J.",TRIP_IN,"{""depths"": [""854 m"", ""901 m"", ""3 m"", ""4m""], ""equipment"": [""casing"", ""tds""], ""measurements"": [], ""time_refs"": []}","[""854 m"", ""901 m"", ""3 m"", ""4m""]","[""casing"", ""tds""]",[],[],599
5131,01:00,02:30,901.0,interruption,rep air,ok,Isolated drilling equipment replaced broken U-clamp and inspected remaining three U-clamps. No wear or damage observed.,REPAIR,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],599
5132,02:30,03:00,935.0,drilling,casing,ok,"RIH 14"" 169.65 kg/m csg from 901 m to 953 m filling every joint with 1.42 sg OBM. Average running speed 6 jts./hr. Observed link arms pushing against U-clamp bolts on bails when using link tilt drill function.",TRIP_IN,"{""depths"": [""901 m"", ""953 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""901 m"", ""953 m""]",[],[],[],599
5133,03:00,04:00,935.0,interruption,rep air,ok,"Isolated drilling equipment and inspected same. Evaluated situation and formulized plan forward to only use link tilt retract function, thereby eliminating the pushing action on the bails.",CUT,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],599
5134,04:00,06:00,1057.0,drilling,casing,ok,"RIH 14"" 169.65 kg/m csg from 935 m to 1057 m filling every joint with 1.42 sg OBM. Average running speed 6 jts./hr.",TRIP_IN,"{""depths"": [""935 m"", ""1057 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""935 m"", ""1057 m""]",[],[],[],599
5135,06:00,09:00,1247.0,drilling,casing,ok,"RIH 14"" 169.65 kg/m csg from 1057 m to 1247 m filling every joint with 1.42 sg OBM. Average running speed 6 jts./hr. Observed leaking hose power tong.",TRIP_IN,"{""depths"": [""1057 m"", ""1247 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""1057 m"", ""1247 m""]",[],[],[],599
5136,09:00,10:00,1247.0,interruption,rep air,ok,Changed out leaking hydraulic hose and connections on power tong.,EQUIPMENT_FAILURE,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],599
5137,10:00,12:30,1348.0,drilling,casing,ok,"RIH 14"" 169.65 kg/m csg from 1247 m to 1348 m filling every joint with 1.42 sg OBM. Average running speed 6 jts./hr. Engaged fill up and circulation tool [FAC]. Broke circulation with 200 lpm, 10 bar. Staged up pumps in 100 lpm incriments to 1000 lpm, 14,7 bar. Dis-engaged FAC. Observed connection on pack-off backed out.",TRIP_IN,"{""depths"": [""1247 m"", ""1348 m""], ""equipment"": [], ""measurements"": [""10 bar"", ""14,7 bar"", ""200 lpm"", ""100 lpm"", ""1000 lpm""], ""time_refs"": []}","[""1247 m"", ""1348 m""]",[],"[""10 bar"", ""14,7 bar"", ""200 lpm"", ""100 lpm"", ""1000 lpm""]",[],599
