operation_id,start_time,end_time,end_depth_mmd,main_activity,sub_activity,state,remark,activity_label,ner_entities,ner_depths,ner_equipment,ner_measurements,ner_time_refs,report_id
1,00:30,06:00,500.0,drilling,trip,ok,MU BAKER WINDOWMASTER WHIPSTOCK + MILLING ASSEMBLY & ASSOCIATED BHA. CONTINUE TIH WITH DP.,TRIP_IN,"{""depths"": [], ""equipment"": [""bha""], ""measurements"": [], ""time_refs"": []}",[],"[""bha""]",[],[],3
2,06:00,10:00,2211.0,drilling,trip,ok,"CONTINUED TIH WITH WINDOWMASTER WHIPSTOCK & MILLING ASSEMBLY. TAGGED 9 5/8"" BRIDGE-PLUG AT 2211 M DPM.",TRIP_IN,"{""depths"": [""2211 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""2211 m""]",[],[],[],3
3,10:00,12:00,2211.0,drilling,drill,ok,ORIENTED WHIPSTOCK USING MWD. SET ANCHOR ON WHIPSTOCK.,CUT,"{""depths"": [], ""equipment"": [""mwd""], ""measurements"": [], ""time_refs"": []}",[],"[""mwd""]",[],[],3
4,12:00,18:00,2207.0,drilling,drill,ok,"CUT WINDOW IN 9 5/8"" CASING USING WHIPSTOCK. TOP OF WINDOW = 2202 M MD - BOTTOM OF WINDOW = 2207 M MD. PUMPED 5 M3 HI-VIS PILL WHILE MILLING AT 2205 M.",CUT,"{""depths"": [""2202 m"", ""2207 m"", ""2205 m""], ""equipment"": [""casing""], ""measurements"": [""5 m3""], ""time_refs"": []}","[""2202 m"", ""2207 m"", ""2205 m""]","[""casing""]","[""5 m3""]",[],3
5,18:00,21:00,2213.0,drilling,drill,ok,DRILLED/MILLED NEW FORMATION FROM 2207 - 2213 M. PUMPED 5 M3 HI-VIS PILL WHILE DRILLING AT 2208 M.,CUT,"{""depths"": [""2213 m"", ""2208 m""], ""equipment"": [], ""measurements"": [""5 m3""], ""time_refs"": []}","[""2213 m"", ""2208 m""]",[],"[""5 m3""]",[],3
6,21:00,23:00,2213.0,drilling,drill,ok,"REAMED WINDOW. AFTER APPROXIMATELY 20 TIMES, STILL UNABLE TO GO DOWN THROUGH WINDOW WITHOUT ROTATING - BASED ON USING MAXIMUM OF 12 M T WEIGHT. REAMED 5 ADDITIONAL TIMES - NOW ABLE TO SLACK-OFF & PICK-UP THROUGH WINDOW WITHOUT HAVING TO ROTATE STRING.",CUT,"{""depths"": [""12 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""12 m""]",[],[],[],3
7,23:00,00:00,2196.0,drilling,circulat ing conditioning,ok,PUMPED 10 M3 HI-VIS PILL & CIRCULATED HOLE CLEAN AT 2000 LPM.,CIRCULATE,"{""depths"": [], ""equipment"": [], ""measurements"": [""2000 lpm"", ""10 m3""], ""time_refs"": []}",[],[],"[""2000 lpm"", ""10 m3""]",[],3
8,00:00,00:30,2196.0,drilling,cir culating con ditioning,ok,COMPLETED CIRCULATING HOLE CLEAN. FLUSHED CHOKE & KILL LINES.,CUT,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],4
9,00:30,03:00,1110.0,drilling,trip,ok,"FLOW CHECKED, PUMPED SLUG & POOH TO PU DRILLING BHA.",TRIP_OUT,"{""depths"": [], ""equipment"": [""bha""], ""measurements"": [], ""time_refs"": []}",[],"[""bha""]",[],[],4
10,04:00,06:00,0.0,drilling,trip,ok,CONTINUED TO POOH WITH MILLING ASSEMBLY.,TRIP_OUT,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],4
11,06:00,06:30,0.0,drilling,trip,ok,COMPLETED LD MILLING ASSEMBLY.,CUT,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],4
12,06:30,09:00,173.0,drilling,trip,ok,MU DRILLING BHA; MOTOR TESTED OK.,CUT,"{""depths"": [], ""equipment"": [""bha""], ""measurements"": [], ""time_refs"": []}",[],"[""bha""]",[],[],4
13,09:00,10:00,800.0,drilling,trip,ok,TIH WITH BHA TO 800 M.,TRIP_IN,"{""depths"": [""800 m""], ""equipment"": [""bha""], ""measurements"": [], ""time_refs"": []}","[""800 m""]","[""bha""]",[],[],4
14,10:30,13:00,2193.0,drilling,trip,ok,CONTINUED TO TIH TO 2193 M WHILE PULLING YELLOW POD.,TRIP_IN,"{""depths"": [""2193 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""2193 m""]",[],[],[],4
15,17:00,17:30,2193.0,drilling,bo p activities,ok,FUNCTION TESTED BOPS USING YELLOW POD - FROM RIG FLOOR PANEL.,CUT,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],4
16,00:00,06:00,2202.0,drilling,trip,ok,MU MILLING BHA & TIH TO WHIPSTOCK.,TRIP_IN,"{""depths"": [], ""equipment"": [""bha""], ""measurements"": [], ""time_refs"": []}",[],"[""bha""]",[],[],5
17,13:30,18:30,2187.0,drilling,trip,ok,"TIH TO 2187 M WITH 9 5/8"" BRIDGE PLUG ON DP.",TRIP_IN,"{""depths"": [""2187 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""2187 m""]",[],[],[],5
18,18:30,19:30,2187.0,drilling,other,ok,SET BRIDGE PLUG AT 2187 M L.A.T. CONFIRMED SETTING BY SLACKING-OFF 10 MT DOWN ON PLUG.,CUT,"{""depths"": [""2187 m""], ""equipment"": [], ""measurements"": [""10 mt""], ""time_refs"": []}","[""2187 m""]",[],"[""10 mt""]",[],5
19,19:30,20:30,2187.0,drilling,circulating conditioning,ok,PUMPED 10 M3 HI-VIS PILL & CIRCULATED OUT.,CIRCULATE,"{""depths"": [], ""equipment"": [], ""measurements"": [""10 m3""], ""time_refs"": []}",[],[],"[""10 m3""]",[],5
20,20:30,00:00,0.0,drilling,trip,ok,"FLOWCHECKED, PUMPED SLUG & POOH WITH EZSV M.S.T.",TRIP_OUT,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],5
21,00:00,06:00,600.0,drilling,trip,ok,MU BAKER WINDOWMASTER WHIPSTOCK ASSEMBLY. TIH WITH BHA ON DP.,TRIP_IN,"{""depths"": [], ""equipment"": [""bha""], ""measurements"": [], ""time_refs"": []}",[],"[""bha""]",[],[],6
22,06:00,10:00,2170.0,drilling,trip,ok,COMPLETED TIH WITH WHIPSTOCK TO 2170 M.,TRIP_IN,"{""depths"": [""2170 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""2170 m""]",[],[],[],6
23,11:00,12:30,2187.0,interruption,sidetra ck,ok,ORIENTED WHIPSTOCK USING MWD. SET ANCHOR ON WHIPSTOCK.,OTHER,"{""depths"": [], ""equipment"": [""mwd""], ""measurements"": [], ""time_refs"": []}",[],"[""mwd""]",[],[],6
24,12:30,21:00,2183.0,interruption,sidetra ck,ok,"CUT WINDOW IN 9 5/8"" CASING USING WHIPSTOCK. TOP OF WINDOW = 2178 M; BOTTOM OF WINDOW = 2183 M. FLOW RATE = APPROX. 1000 L PM AT 74 BAR.",CUT,"{""depths"": [""2178 m"", ""2183 m""], ""equipment"": [""casing""], ""measurements"": [""74 bar""], ""time_refs"": []}","[""2178 m"", ""2183 m""]","[""casing""]","[""74 bar""]",[],6
25,21:00,00:00,2198.0,interruption,sidetra ck,ok,DRILLED/MILLED NEW FORMATION FROM 2183 - 2198M. FLOW RATE = 1500 LPM AT 125 BAR.,CUT,"{""depths"": [""2198m""], ""equipment"": [], ""measurements"": [""125 bar"", ""1500 lpm""], ""time_refs"": []}","[""2198m""]",[],"[""125 bar"", ""1500 lpm""]",[],6
26,00:00,01:00,2202.0,interruption,sidetrack,ok,FINISHED DRILLING TO 2202 M - TOTAL OF 19 M OF FORMATION DRILLED BEYOND WINDOW'S BOTTOM. PU & SO THROUGH WINDOW 5 TIMES - N O PROBLEMS.,CUT,"{""depths"": [""2202 m"", ""19 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""2202 m"", ""19 m""]",[],[],[],7
27,01:00,02:30,2175.0,drilling,circulating cond itioning,ok,PU ABOVE TOP OF WINDOW & PUMPED 5 M3 HI-VIS PILL. CIRCULATED HOLE CLEAN AT 2000 LPM AT 195 BAR. FLUSHED CHOKE & KILL LINES & B OOSTED RISER.,CIRCULATE,"{""depths"": [], ""equipment"": [], ""measurements"": [""195 bar"", ""2000 lpm"", ""5 m3""], ""time_refs"": []}",[],[],"[""195 bar"", ""2000 lpm"", ""5 m3""]",[],7
28,02:30,06:00,100.0,drilling,trip,ok,POOH TO MU DRILLING BHA.,TRIP_OUT,"{""depths"": [], ""equipment"": [""bha""], ""measurements"": [], ""time_refs"": []}",[],"[""bha""]",[],[],7
29,06:00,07:00,0.0,drilling,trip,ok,FINISHED HANDLING WHIPSTOCK/MILLING BHA.,CUT,"{""depths"": [], ""equipment"": [""bha""], ""measurements"": [], ""time_refs"": []}",[],"[""bha""]",[],[],7
30,07:00,10:30,430.0,drilling,trip,ok,"MU DRILLING BHA & TIH TO 430 M WITH NEW 8 1/2"" PDC BIT.",TRIP_IN,"{""depths"": [""430 m""], ""equipment"": [""bha"", ""bit""], ""measurements"": [], ""time_refs"": []}","[""430 m""]","[""bha"", ""bit""]",[],[],7
31,10:30,11:30,430.0,drilling,other,ok,S/C DRILLINE.,CUT,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],7
32,12:30,16:30,2161.0,drilling,trip,ok,CONTINUED TO TIH TO 2161 M.,TRIP_IN,"{""depths"": [""2161 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""2161 m""]",[],[],[],7
33,16:30,17:00,2161.0,drilling,trip,ok,ORIENTED TOOL-FACE.,CUT,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],7
34,17:00,17:30,2190.0,drilling,trip,ok,RIH SLOWLY-NO ROTATION OR CIRCULATION-FROM 2161 - 2190 M. WINDOW IN CASING FROM 2178 - 2183 M. MADE CHECK TRIP TO 2175 M; NO P ROBLEMS PASSING THROUGH WINDOW.,TRIP_IN,"{""depths"": [""2190 m"", ""2183 m"", ""2175 m""], ""equipment"": [""casing""], ""measurements"": [], ""time_refs"": []}","[""2190 m"", ""2183 m"", ""2175 m""]","[""casing""]",[],[],7
35,17:30,18:00,2202.0,drilling,trip,ok,BROKE CIRCULATION. WASHED DOWN FROM 2190 - 2202 M / TD.,CUT,"{""depths"": [""2202 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""2202 m""]",[],[],[],7
36,18:00,00:00,2311.0,drilling,drill,ok,"DRILLED/ORIENTED 8 1/2"" HOLE FROM 2202 - 2311 M.",CUT,"{""depths"": [""2311 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""2311 m""]",[],[],[],7
37,00:00,06:00,2405.0,drilling,drill,ok,"DRILLED/ORIENTED 8 1/2"" HOLE FROM 2311 - 2405 M .",CUT,"{""depths"": [""2405 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""2405 m""]",[],[],[],8
38,06:00,19:00,2653.0,drilling,drill,ok,"DRILLED/ORIENTED 8 1/2"" HOLE FROM 2405-2653 M.",CUT,"{""depths"": [""2653 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""2653 m""]",[],[],[],8
39,19:00,20:00,2653.0,drilling,circulating conditioning,ok,CIRCULATED TO CLEAN HOLE.,CIRCULATE,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],8
40,20:00,00:00,2711.0,drilling,drill,ok,"DRILLED/ORIENTED 8 1/2"" HOLE FROM 2653 - 2711 M .",CUT,"{""depths"": [""2711 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""2711 m""]",[],[],[],8
41,00:00,06:00,2768.0,drilling,drill,ok,"DRILLED/ORIENTED 8 1/2"" HOLE FROM 2711 - 2768 M. HAD PROBLEMS TURNING WELLPATH TO THE RIGHT.",CUT,"{""depths"": [""2768 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""2768 m""]",[],[],[],9
42,06:00,07:00,2768.0,drilling,circulating conditioning,ok,CIRCULATED HOLE CLEAN IN PREPARATION FOR TRIP OUT.,TRIP_OUT,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],9
43,07:00,15:30,0.0,drilling,trip,ok,"POOH FOR BHA CHANGE DUE TO DIRECTIONAL PROBLEM - NOT ENOUGH TURN TO RIGHT IN AZIMUTH. NOTE-NO PROBLEM IN TOH THROUGH 9 5/8"" CASIN G WINDOW. UNABLE TO DOWNLOAD MEMORY FROM MWD AFTER TRYING FOR 1 HOUR.",TRIP_OUT,"{""depths"": [], ""equipment"": [""bha"", ""mwd""], ""measurements"": [], ""time_refs"": []}",[],"[""bha"", ""mwd""]",[],[],9
44,15:30,21:30,2768.0,drilling,trip,ok,"INCREASED AKO MOTOR FROM 1,2 DEGREES TO 1,5 DEGREES & MU INSERT BIT FOR DIRECTIONAL REASON/CONTROL. TIH TO 2768 M -TD. NOTE-TOOK 5 M T WEIGHT TO PASS THROUGH WINDOW WITH MOTOR/BIT.",TRIP_IN,"{""depths"": [""2768 m"", ""5 m""], ""equipment"": [""bit""], ""measurements"": [], ""time_refs"": []}","[""2768 m"", ""5 m""]","[""bit""]",[],[],9
45,21:30,23:00,2768.0,drilling,circulating conditioning,ok,CIRCULATED HOLE CLEAN IN PREPARATION FOR RUNNING GYRO SURVEY INSIDE OF DRILLSTRING. (CIRCULATION RATE = 2500 LPM AT 290 BAR.) NOTE: PR EPARED/RU TO RUN GYRO WHILE CIRCULATING.,CIRCULATE,"{""depths"": [], ""equipment"": [], ""measurements"": [""290 bar"", ""2500 lpm""], ""time_refs"": []}",[],[],"[""290 bar"", ""2500 lpm""]",[],9
46,23:00,00:00,2768.0,drilling,survey,ok,CONTINUED CIRCULATING WHILE RU TO RUN GYRO.,CUT,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],9
47,00:00,00:30,2768.0,drilling,survey,ok,CONTINUED CIRCULATING WHILE RU TO RUN GYRO.,CUT,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],10
48,00:30,05:30,2768.0,drilling,survey,ok,MU SIDE-ENTRY SUB INTO DRILLSTRING & RIH WITH GYRO ON ATLAS E/LINE. BIT 1 JOINT OFF BOTTOM DURING SURVEY. RAN GYRO FROM 1880 TO 2710 M. POOH WITH GY RO & RD SIDE-ENTRY SUB.,TRIP_IN,"{""depths"": [""2710 m""], ""equipment"": [""bit""], ""measurements"": [], ""time_refs"": []}","[""2710 m""]","[""bit""]",[],[],10
49,05:30,06:00,2771.0,drilling,drill,ok,DRILLED FROM 2768 - 2771 M / SLIDING.,CUT,"{""depths"": [""2771 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""2771 m""]",[],[],[],10
50,06:00,13:30,2783.0,drilling,drill,ok,"DRILLED FROM 2771-2783 M. DECREASE IN ROP - TOOK APPROX. 2,5 HRS. TO DRILL LAST METER.",CUT,"{""depths"": [""2783 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""2783 m""]",[],[],[],10
51,13:30,15:00,2190.0,drilling,trip,ok,FLOW CHECKED & PUMPED SLUG. POOH TO 2190 M WITH NO PROBLEMS.,TRIP_OUT,"{""depths"": [""2190 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""2190 m""]",[],[],[],10
52,20:30,00:00,540.0,drilling,trip,ok,AT 2167 M - FLOW CHECKED FOR 15 MINUTES; HOLE STATIC. FLUSHED CHOKE & KILL LINES & BOOSTED RISER CLEAN. CONTINUED TO POOH WITH BHA.,TRIP_OUT,"{""depths"": [""2167 m""], ""equipment"": [""bha""], ""measurements"": [], ""time_refs"": []}","[""2167 m""]","[""bha""]",[],[],10
53,00:00,01:30,0.0,drilling,trip,ok,COMPLETED POOH.INSERT BIT WAS CORED-OUT.,TRIP_OUT,"{""depths"": [], ""equipment"": [""bit""], ""measurements"": [], ""time_refs"": []}",[],"[""bit""]",[],[],11
54,01:30,06:00,106.0,drilling,bop activi ties,ok,RAN BOP TEST TOOL TO WELLHEAD.TESTED PIPE RAMS & FAIL SAFE VALVES TO 20/345 BAR; TESTED BOTH ANNULARS TO 20/241 BAR. TESTED ON YELLOW POD. FUNCTION TESTED ON BLUE POD - FROM SUBSEA CONTROL ROOM.,CUT,"{""depths"": [], ""equipment"": [""bop""], ""measurements"": [""345 bar"", ""241 bar""], ""time_refs"": []}",[],"[""bop""]","[""345 bar"", ""241 bar""]",[],11
55,06:00,06:30,0.0,drilling,bop activi ties,ok,COMPLETED POOH WITH BOP TEST TOOL.,TRIP_OUT,"{""depths"": [], ""equipment"": [""bop""], ""measurements"": [], ""time_refs"": []}",[],"[""bop""]",[],[],11
56,06:30,09:00,752.0,drilling,trip,ok,MU SLICK BHA FOR CHECK TRIP & TIH TO 752 M.,TRIP_IN,"{""depths"": [""752 m""], ""equipment"": [""bha""], ""measurements"": [], ""time_refs"": []}","[""752 m""]","[""bha""]",[],[],11
57,09:00,11:00,752.0,drilling,bop activi ties,ok,TESTED 2-TDS SAFETY VALVES & 1-KELLY COCK TO 35/345 BAR -5/10 MINUTES.,CUT,"{""depths"": [], ""equipment"": [""tds""], ""measurements"": [""345 bar""], ""time_refs"": []}",[],"[""tds""]","[""345 bar""]",[],11
58,11:00,14:00,2081.0,drilling,trip,ok,CONTINUED TO TIH TO 2081 M.,TRIP_IN,"{""depths"": [""2081 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""2081 m""]",[],[],[],11
59,14:00,15:30,2183.0,drilling,trip,ok,ESTABLISHED CIRC AT 2500 LPM.WASHED DOWN TO CASING WINDOW. RAN THROUGH WINDOW & PU THROUGH WINDOW WITHOUT PUMPING - NO PROBLEM S. CIRCULATED AT 1500 LPM & ROTATED AT 50 RPM & RAN THROUGH WINDOW - NO PROBLEM.,CIRCULATE,"{""depths"": [], ""equipment"": [""casing""], ""measurements"": [""50 rpm"", ""2500 lpm"", ""1500 lpm""], ""time_refs"": []}",[],"[""casing""]","[""50 rpm"", ""2500 lpm"", ""1500 lpm""]",[],11
60,15:30,16:30,2207.0,drilling,ream,ok,CONTINUED TIH; TOOK WEIGHT AT 2207 M. REAMED FROM 2207 - 2245 M; TIGHT HOLE FROM 2207 - 2226 M. HAD TENDENCY OF PACKING-OFF. 16300 NM= MA XIMUM TORQUE EXPERIENCED.,TRIP_IN,"{""depths"": [""2207 m"", ""2245 m"", ""2226 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""2207 m"", ""2245 m"", ""2226 m""]",[],[],[],11
61,16:30,18:30,2783.0,drilling,trip,ok,"CONTINUED TIH; WASHED DOWN LAST 38 M TO TD - 2783 M. 0,5 M OF FILL ON BOTTOM.",TRIP_IN,"{""depths"": [""38 m"", ""2783 m"", ""0,5 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""38 m"", ""2783 m"", ""0,5 m""]",[],[],[],11
62,18:30,20:00,2783.0,drilling,circulatin g conditioning,ok,"CIRCULATED AT 2500 LPM - 204 BAR - TO CLEAN HOLE. WORKED BIT ON BOTTOM BECAUSE OF PREVIOUS BIT'S CONDITION. EXCESSIVE AMOUNT OF CUTTIN GS BACK DURING CIRCULATION; AFTER BOTTOMS UP, CAVINGS STARTED TO RETURN TO SURFACE.",CIRCULATE,"{""depths"": [], ""equipment"": [""bit""], ""measurements"": [""204 bar"", ""2500 lpm""], ""time_refs"": []}",[],"[""bit""]","[""204 bar"", ""2500 lpm""]",[],11
63,20:00,22:30,2783.0,drilling,circulatin g conditioning,ok,"INCREASED MUD WEIGHT FROM 1,50 SG TO 1,54 SG WHILE CIRCULATING AT 2200 LPM. AFTER 1,54 MUD AROUND, INCREASED FLOW RATE TO 2500 LPM - 210 BAR - WITH NO LOSSES.",CIRCULATE,"{""depths"": [], ""equipment"": [], ""measurements"": [""210 bar"", ""2200 lpm"", ""2500 lpm""], ""time_refs"": []}",[],[],"[""210 bar"", ""2200 lpm"", ""2500 lpm""]",[],11
64,22:30,00:00,2231.0,drilling,trip,ok,"FLOW CHECKED, PUMPED SLUG & POOH TO MU DRILLING BHA.",TRIP_OUT,"{""depths"": [], ""equipment"": [""bha""], ""measurements"": [], ""time_refs"": []}",[],"[""bha""]",[],[],11
65,00:00,01:00,2231.0,drilling,circulating c onditioning,ok,"WITH TOP OF DCS 10M BELOW WINDOW, CIRCULATED BOTTOMS UP AT 2231 M BIT DEPTH. 2000 LPM = 127 BAR. NO UNUSUAL AMOUNT OF CUTTINGS A T SHAKERS.",CIRCULATE,"{""depths"": [""10m"", ""2231 m""], ""equipment"": [""bit""], ""measurements"": [""127 bar"", ""2000 lpm""], ""time_refs"": []}","[""10m"", ""2231 m""]","[""bit""]","[""127 bar"", ""2000 lpm""]",[],12
66,01:00,04:30,0.0,drilling,trip,ok,"CONTINUED POOH - MAXIMUM DRAG THROUGH WINDOW = 2,25 MT.",TRIP_OUT,"{""depths"": [], ""equipment"": [], ""measurements"": [""2,25 mt""], ""time_refs"": []}",[],[],"[""2,25 mt""]",[],12
67,04:30,06:00,340.0,drilling,trip,ok,MU NEW INSERT BIT - EHP43AFLDK - & MU SLICK DRILLING BHA WITH MOTOR & MWD.,CUT,"{""depths"": [], ""equipment"": [""bha"", ""mwd"", ""bit""], ""measurements"": [], ""time_refs"": []}",[],"[""bha"", ""mwd"", ""bit""]",[],[],12
68,06:00,11:00,2783.0,drilling,trip,ok,RIH TO 2160M. ESTABLISHED CIRC WITH 2500 LPM AND ORIENTED TOOLFACE. RUN THROUGH WINDOW WITH NO ROTATION OR CIRCULATION AND CO NTINUED RIH WITH NO PROBLEMS. WASHED LAST STAND TO TD.,TRIP_IN,"{""depths"": [""2160m""], ""equipment"": [], ""measurements"": [""2500 lpm""], ""time_refs"": []}","[""2160m""]",[],"[""2500 lpm""]",[],12
69,11:00,00:00,2970.0,drilling,drill,ok,"DRILLED AND ORIENTED 8 1/2"" HOLE FROM 2783 - 2970 M.",CUT,"{""depths"": [""2970 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""2970 m""]",[],[],[],12
70,00:00,06:00,3052.0,drilling,drill,ok,"DRILLED AND ORIENTED 8 1/2"" HOLE FROM 2970 M - 3052 M.",CUT,"{""depths"": [""2970 m"", ""3052 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""2970 m"", ""3052 m""]",[],[],[],13
71,06:00,06:30,3057.0,drilling,drill,ok,"DRILLED 8 1/2"" HOLE FROM 3052 - 3057 M / ROTATING.",CUT,"{""depths"": [""3057 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""3057 m""]",[],[],[],13
72,06:30,09:30,3057.0,drilling,circulating cond itioning,ok,CIRCULATED HOLE CLEAN & BOOSTED RISER. HAD EXCESSIVE AMOUNT OF CUTTINGS OVER THE SHAKERS.,CIRCULATE,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],13
73,09:30,11:30,2707.0,drilling,trip,ok,MADE SHORT TRIP TO 2707 M & RIH TO TD - WASHED DOWN LAST STAND TO TD - NO PROBLEMS.,TRIP_IN,"{""depths"": [""2707 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""2707 m""]",[],[],[],13
74,11:30,12:30,3057.0,drilling,trip,ok,"CIRCULATED HOLE CLEAN & BOOSTED RISER. SHORT TRIP GAS=4,38% CORRECTED.",CIRCULATE,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],13
75,12:30,15:00,2253.0,drilling,trip,ok,POOH TO 2253 FOR BIT & BHA CHANGE.,TRIP_OUT,"{""depths"": [], ""equipment"": [""bha"", ""bit""], ""measurements"": [], ""time_refs"": []}",[],"[""bha"", ""bit""]",[],[],13
76,15:00,16:30,2253.0,drilling,circulating cond itioning,ok,"WITH TOP OF DCS 10 M BELOW CASING WINDOW, CIRCULATED BOTTOMS UP AT 2000 LPM. ORIENTED TOOLFACE AT 55 DEGREES & PULLED TH ROUGH WINDOW WITH NO OVERPULL.",CIRCULATE,"{""depths"": [""10 m""], ""equipment"": [""casing""], ""measurements"": [""2000 lpm""], ""time_refs"": []}","[""10 m""]","[""casing""]","[""2000 lpm""]",[],13
77,16:30,19:30,0.0,drilling,trip,ok,COMPLETED POOH.,TRIP_OUT,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],13
78,19:30,00:00,1270.0,drilling,trip,ok,MU NEW PDC BIT WITH STABILIZED DRILLING BHA; PU NEW MOTOR DUE TO WEAR. TIH TO 1270 M.,TRIP_IN,"{""depths"": [""1270 m""], ""equipment"": [""bha"", ""bit""], ""measurements"": [], ""time_refs"": []}","[""1270 m""]","[""bha"", ""bit""]",[],[],13
79,00:00,02:00,2135.0,drilling,trip,ok,CONTINUED TO TIH TO 2135 M.,TRIP_IN,"{""depths"": [""2135 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""2135 m""]",[],[],[],14
80,02:00,03:00,2210.0,drilling,drill,ok,FILLED DRILLSTRING. CIRCULATED AT 1985 LPM /196 BAR ; ORIENTED BIT TO 65 DEG. RIGHT & RIH THROUGH CASING WINDOW.,TRIP_IN,"{""depths"": [], ""equipment"": [""casing"", ""bit""], ""measurements"": [""196 bar"", ""1985 lpm""], ""time_refs"": []}",[],"[""casing"", ""bit""]","[""196 bar"", ""1985 lpm""]",[],14
81,03:00,04:30,3057.0,drilling,trip,ok,COMPLETED TIH TO TD-3057 M. WASHED LAST STAND TO BOTTOM - NO FILL.,TRIP_IN,"{""depths"": [""3057 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""3057 m""]",[],[],[],14
82,04:30,06:00,3057.0,drilling,circulating con ditioning,ok,"TOOK SCRS. INCREASE IN GAS TO 6,9 % - CORRECTED. COMPLETED CIRCULATING BOTTOMS UP PRIOR TO DRILLING. GAS DECREASED TO 0,5 %. STARTED DRILLING 8 1/2"" HOLE AT 0546 HRS.",CUT,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],14
83,06:00,00:00,3369.0,drilling,drill,ok,"DRILLED 8 1/2"" HOLE FROM 3057 - 3369 M.",CUT,"{""depths"": [""3369 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""3369 m""]",[],[],[],14
84,00:00,01:30,3379.0,drilling,drill,ok,"DRILLED 8 1/2"" HOLE FROM 3369 - 3379 M. HAD INCREASING AMOUNT OF CAVINGS IN RETURNS.",CUT,"{""depths"": [""3379 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""3379 m""]",[],[],[],15
85,01:30,03:30,3379.0,drilling,circulatin g conditioning,ok,CIRCULATED UNTIL SHAKERS CLEANED-UP BECAUSE OF INCREASE IN HOLE DRAG. BOOSTED RISER & FLUSHED CHOKE/KILL LINES. FLOW RATE = 2500 LPM. NOTE: EXCESSIVE AMOUNT OF CUTTINGS TO SURFACE; TOOK 3 BOTTOMS UP FOR SHAKERS TO CLEAN-UP.,CIRCULATE,"{""depths"": [], ""equipment"": [], ""measurements"": [""2500 lpm""], ""time_refs"": []}",[],[],"[""2500 lpm""]",[],15
86,03:30,06:00,3390.0,drilling,drill,ok,"DRILLED 8 1/2"" HOLE FROM 3379 - 3390 M.",CUT,"{""depths"": [""3390 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""3390 m""]",[],[],[],15
