equipment_failure_id,start_time,depth_mmd,system_class,downtime_min,repaired_time,remark,ner_entities,ner_depths,ner_equipment,ner_measurements,ner_time_refs,report_id
112,00:00,0.0,well control equ syst -- other,0.0,00:00,Had to tighten slickjoint/overshot connection on BOP,"{""depths"": [], ""equipment"": [""bop""], ""measurements"": [], ""time_refs"": []}",[],"[""bop""]",[],[],657
113,00:00,30.0,pipe handling equ syst -- vertical pipe handling equ syst,0.0,00:00,Burst hose on AFT PRS.,"{""depths"": [], ""equipment"": [""prs""], ""measurements"": [], ""time_refs"": []}",[],"[""prs""]",[],[],657
114,00:00,50.0,service equ -- specia l service equ,0.0,00:00,The installation of the RA source into the ADN sub is normally done with an installation carrier and adapter sitting on top of the pipe stick up. Several attempts to install the RA source were made using this equipment. Was not able to screw the RA sourced,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],658
115,00:00,1319.0,well control equ syst -- choke/kill syst,0.0,00:00,Fault on choke sensors,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],658
116,00:00,1100.0,mud and bulk syst -- mud supply,0.0,00:00,Leakage on mudpump#1. Liner spray on mudpump#3 not working.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],658
117,00:00,1355.0,mud and bulk syst -- hp equipment,0.0,00:00,Worked on standpipe valves.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],659
118,00:00,0.0,pipe handling equ syst -- other,0.0,00:00,"Broke dog collar links when handling 26"" drilling BHA. Fixed and continued operation. Do wntime 0,5 hrs.","{""depths"": [], ""equipment"": [""bha""], ""measurements"": [], ""time_refs"": []}",[],"[""bha""]",[],[],660
119,00:00,1422.0,mud and bulk syst -- mud solids c ontrol,0.0,00:00,Conveyer belt bringing cuttings to dump shute stopped. Cuttings piled up and jammed the belt. Had t o stop drilling.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],662
120,00:00,1959.0,hoisting equ -- top drive,0.0,00:00,Changed die retainer plates on TDS,"{""depths"": [], ""equipment"": [""tds""], ""measurements"": [], ""time_refs"": []}",[],"[""tds""]",[],[],662
121,00:00,1859.0,mud and bulk sys t -- mud supply,0.0,00:00,"During drilling the 17 1/2"" section, mudpump#2 had to be shut down due to washout in one of the suction valve seats. Drilling had to be halted as mud p ump #1 was being repaired due to breakdown the same day. Only mud pump #3 up and running which was not su","{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],664
122,00:00,2146.0,mud and bulk sys t -- mud supply,0.0,00:00,Mudpumps 1 & 2 shut down.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],664
123,00:00,2486.0,hoisting equ -- to p drive,0.0,00:00,Leakage on TDS washpipe,"{""depths"": [], ""equipment"": [""tds""], ""measurements"": [], ""time_refs"": []}",[],"[""tds""]",[],[],664
124,00:00,2486.0,mud and bulk syst -- mud supply,0.0,00:00,Mud pumnps #2 and #3 out of service.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],666
125,00:00,38.0,service equ -- spe cial service equ,0.0,00:00,Could not realease RA source in ADN. Decided to pull RA source regardless with the possible implication that the ADN tool could not be run as there wa s no spare transfer shield onboard. RA source came out without shearing when using tugger to release. The,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],667
126,00:00,9.0,hoisting equ -- top drive,0.0,00:00,Had to check TDS due to unexpected noise while rotating. Changed gear oil on TDS.,"{""depths"": [], ""equipment"": [""tds""], ""measurements"": [], ""time_refs"": []}",[],"[""tds""]",[],[],667
127,00:00,40.0,pipe handling equ syst -- vertical pipe handling equ syst,0.0,00:00,Problems with fingerboard,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],668
128,00:00,2535.0,mud and bulk syst -- mud supply,0.0,00:00,Failure on MP#1 and #3,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],668
129,00:00,830.0,pipe handling equ syst -- drill floor tube handl syst,0.0,00:00,Burst hose on iron roughneck,"{""depths"": [], ""equipment"": [""iron roughneck""], ""measurements"": [], ""time_refs"": []}",[],"[""iron roughneck""]",[],[],670
130,00:00,0.0,well control equ syst -- diverter,0.0,00:00,Leaking seals in slick joint had to be changed .,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],675
131,00:00,1327.0,drillstring downhole -- other,0.0,00:00,Float did not hold pressure.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],680
132,00:00,2771.0,pipe handling equ syst -- drill floor tube handl s yst,0.0,00:00,Mærsk Synergi #85482 - incident - Mærsk grading Green 1 - Dies on pipehandler fell out The dies from the TDS pipehandler came out while unscrewing TDS due to torque wrench not unclamping. Repaired die carrier and implemented new procedure to release,"{""depths"": [], ""equipment"": [""tds""], ""measurements"": [], ""time_refs"": []}",[],"[""tds""]",[],[],682
133,00:00,2811.0,pipe handling equ syst -- vertical pipe handling equ syst,0.0,00:00,During connection the forward PRS blocked the way of the aft PRS.,"{""depths"": [], ""equipment"": [""prs""], ""measurements"": [], ""time_refs"": []}",[],"[""prs""]",[],[],682
134,00:00,2576.0,service equ -- spe cial service equ,0.0,00:00,MWD was working but transmission signal was very weak. Trouble-shot to find probable noise source. The sinal was excellent befor the well was displ aced to OBM. Found signal to be present at low flow rates. Managed to minipulate drilling parameters to have,"{""depths"": [], ""equipment"": [""mwd""], ""measurements"": [], ""time_refs"": []}",[],"[""mwd""]",[],[],683
135,00:00,2965.0,service equ -- mu d logging equ,0.0,00:00,"In an attempt to clean out the rig drains, water entered the geoservices unit through the sink. Due to a carpet blocking the drain, the water flooded the u nit and resulted in av black-out.","{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],683
136,00:00,3017.0,pipe handling equ syst -- vertical pipe handling equ syst,0.0,00:00,"Wash pipe started leaking during drilling of the 12 1/4"" section.","{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],685
137,00:00,0.0,well control equ syst -- bop stack,0.0,00:00,Leak in BOP slick joint. Was repaired,"{""depths"": [], ""equipment"": [""bop""], ""measurements"": [], ""time_refs"": []}",[],"[""bop""]",[],[],687
138,00:00,3113.0,service equ -- ce menting unit,0.0,00:00,"During mixing of cement, when chemical were supposed to be added. No communication between chemical injection software and mixing pump. Through dialog with Halliburton town the system was re-booted and the job performed.","{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],688
139,00:00,1586.0,pipe handling equ sy st -- other,0.0,00:00,"RIH w/ 8½"" BHA on 5"" DP. Changed out surface handling equipment to run w/ 5½"" DP. Trouble shot PS-21 slips, could not rectify proble m in table, changed out slips to PS-30 slips.","{""depths"": [], ""equipment"": [""slips"", ""bha""], ""measurements"": [], ""time_refs"": []}",[],"[""slips"", ""bha""]",[],[],692
140,00:00,3480.0,hoisting equ -- top dr ive,0.0,00:00,"Drilling 8½"" hole @3480m. Wash pipe, washed out pulled 1 stand up to 3441m and installed a pump in sub, established circulation at 1 900 lpm had good returns over the shackers with cuttings. Held tool box talk prior to change out wash pipe. Commenced cha","{""depths"": [""3480m"", ""3441m""], ""equipment"": [], ""measurements"": [""900 lpm""], ""time_refs"": []}","[""3480m"", ""3441m""]",[],"[""900 lpm""]",[],692
141,00:00,3430.0,service equ -- mud logging equ,0.0,00:00,During taking pressure points in reservoir. Geoservices unit shut down due to two gas detectors activated. Caused by wat er in on of two the gas detectors. The gas detector was overrided and the unit was re-booted. The geoservices unit having one gas det,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],693
142,00:00,440.0,service equ -- wellhead tubular equ,0.0,00:00,Laid out 4 joints due to damaged threads and replaced w/ the 3 back-up.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],696
143,00:00,1748.0,drill floor -- draw works,0.0,00:00,Brakes on draw work unable to release.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],699
144,00:00,3177.0,miscellaneous equ syst -- other,0.0,00:00,Performed FG inspection due to falling lock nut.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],702
145,00:00,798.0,pipe handling equ syst -- drill floor t ube handl syst,0.0,00:00,"Found leakage on hydraulic fitting on BX3 elevator. Changed hydraulic fitting and bolt head connection for return line on 10 3/4"" BX3 elevator. Downtime 0,75 hrs.","{""depths"": [], ""equipment"": [""elevator""], ""measurements"": [], ""time_refs"": []}",[],"[""elevator""]",[],[],702
146,00:00,2350.0,pipe handling equ syst -- vertical pipe handling equ syst,0.0,00:00,Hydraulic leak on PRS,"{""depths"": [], ""equipment"": [""prs""], ""measurements"": [], ""time_refs"": []}",[],"[""prs""]",[],[],705
147,00:00,7.0,pipe handling equ syst -- vertical pipe handling equ syst,0.0,00:00,Hydraulic leakage on BX elevator fitting.,"{""depths"": [], ""equipment"": [""elevator""], ""measurements"": [], ""time_refs"": []}",[],"[""elevator""]",[],[],706
148,00:00,1505.0,pipe handling equ syst -- drill floor t ube handl syst,0.0,00:00,Prb. with conveyer belt,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],707
149,00:00,1920.0,pipe handling equ syst -- vertical pi pe handling equ syst,0.0,00:00,"During casing handling the Monkey arm on the HTS jammed in upper position. Operations had to be halted. Evidently a softwa re problem. Was fixed by the Mærsk ET technican. Downtime 0,5 hrs.","{""depths"": [], ""equipment"": [""casing""], ""measurements"": [], ""time_refs"": []}",[],"[""casing""]",[],[],707
150,00:00,0.0,well control equ syst -- other,0.0,00:00,Not able to release overshot joint from BOP body,"{""depths"": [], ""equipment"": [""bop""], ""measurements"": [], ""time_refs"": []}",[],"[""bop""]",[],[],710
151,00:00,0.0,well control equ syst -- other,0.0,00:00,Problems with hydraulic pressure on BOP trolley,"{""depths"": [], ""equipment"": [""bop""], ""measurements"": [], ""time_refs"": []}",[],"[""bop""]",[],[],710
152,00:00,121.0,well control equ syst -- riser syst,0.0,00:00,Damage on soft slings. Rejected slings for use.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],712
153,00:00,0.0,miscellaneous equ syst -- other,0.0,00:00,Changed leaking tension cylinders .,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],714
154,00:00,139.0,drill floor -- draw works,0.0,00:00,Software problem on drawworks,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],714
155,00:00,27.5,miscellaneous equ syst -- wellhead subsea run tes t,0.0,00:00,Unable to make the Adjustment sub.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],719
